Year,Thylacine pelts submitted for Government Bounty in Tasmania,Total population of kanagroos in the commercial harvest zones of NSW,Population size of TasDev in northeastern Tasmania with a locally weighted regression fit (number 10km^-1),Prevelance of TasDev Facial Tumor Disease,Population size of TasDev in a 160km square study site in Eastern Tasmania (+/- 95% CI),Total Population Estimates for kangaroos within the commercial harvest areas,,,,,,,
1890,98,,,,,,,,,,,,
1891,100,,,,,,,,,,,,
1892,103,,,,,,,,,,,,
1893,105,,,,,,,,,,,,
1894,106,,,,,,,,,,,,
1895,111,,,,,,,,,,,,
1896,114,,,,,,,,,,,,
1897,117,,,,,,,,,,,,
1898,120,,,,,,,,,,,,
1899,124,,,,,,,,,,,,
1900,124,,,,,,,,,,,,
1901,119,,,,,,,,,,,,
1902,113,,,,,,,,,,,,
1903,105,,,,,,,,,,,,
1904,92,,,,,,,,,,,,
1905,75,,,,,,,,,,,,
1906,60,,,,,,,,,,,,
1907,46,,,,,,,,,,,,
1908,32,,,,,,,,,,,,
1909,20,,,,,,,,,,,,
1910,6,,,,,,,,,,,,
1911,,,,,,,,,,,,,
1912,,,,,,,,,,,,,
1913,,,,,,,,,,,,,
1914,,,,,,,,,,,,,
1915,,,,,,,,,,,,,
1916,,,,,,,,,,,,,
1917,,,,,,,,,,,,,
1918,,,,,,,,,,,,,
1919,,,,,,,,,,,,,
1920,,,,,,,,,,,,,
1921,,,,,,,,,,,,,
1922,,,,,,,,,,,,,
1923,,,,,,,,,,,,,
1924,,,,,,,,,,,,,
1925,,,,,,,,,,,,,
1926,,,,,,,,,,,,,
1927,,,,,,,,,,,,,
1928,,,,,,,,,,,,,
1929,,,,,,,,,,,,,
1930,,,,,,,,,,,,,
1931,,,,,,,,,,,,,
1932,,,,,,,,,,,,,
1933,,,,,,,,,,,,,
1934,,,,,,,,,,,,,
1935,,,,,,,,,,,,,
1936,,,,,,,,,,,,,
1937,,,,,,,,,,,,,
1938,,,,,,,,,,,,,
1939,,,,,,,,,,,,,
1940,,,,,,,,,,,,,
1941,,,,,,,,,,,,,
1942,,,,,,,,,,,,,
1943,,,,,,,,,,,,,
1944,,,,,,,,,,,,,
1945,,,,,,,,,,,,,
1946,,,,,,,,,,,,,
1947,,,,,,,,,,,,,
1948,,,,,,,,,,,,,
1949,,,,,,,,,,,,,
1950,,,,,,,,,,,,,
1951,,,,,,,,,,,,,
1952,,,,,,,,,,,,,
1953,,,,,,,,,,,,,
1954,,,,,,,,,,,,,
1955,,,,,,,,,,,,,
1956,,,,,,,,,,,,,
1957,,,,,,,,,,,,,
1958,,,,,,,,,,,,,
1959,,,,,,,,,,,,,
1960,,,,,,,,,,,,,
1961,,,,,,,,,,,,,
1962,,,,,,,,,,,,,
1963,,,,,,,,,,,,,
1964,,,,,,,,,,,,,
1965,,,,,,,,,,,,,
1966,,,,,,,,,,,,,
1967,,,,,,,,,,,,,
1968,,,,,,,,,,,,,
1969,,,,,,,,,,,,,
1970,,,,,,,,,,,,,
1971,,,,,,,,,,,,,
1972,,,,,,,,,,,,,
1973,,,,,,,,,,,,,
1974,,,,,,,,,,,,,
1975,,,,,,,,,,,,,
1976,,,,,,,,,,,,,
1977,,,,,,,,,,,,,
1978,,,,,,,,,,,,,
1979,,,,,,,,,,,,,
1980,,,,,,,,,,,,,
1981,,,,,,,,,,,,,
1982,,,,,,,,,,,,,
1983,,,,,,,,,,,,,
1984,,,,,,,,,,,,,
1985,,"4,155,000",0.55,,,,,,,,,,
1986,,"4,662,100",0.56,,,,,,,,,,
1987,,"5,425,000",0.57,,,,,,,,,,
1988,,"5,498,000",0.59,,,,,,,,,,
1989,,"7,893,500",0.61,,,,,,,,,,
1990,,"9,563,900",0.64,,,,,,,,,,
1991,,"10,168,000",0.68,,,,,,,,,,
1992,,"8,437,900",0.74,,,,,,,,,,
1993,,"15,074,671",0.76,,,,,,,,,,
1994,,"11,910,151",0.79,,,,,,,,,,
1995,,"12,573,628",0.80,,,,,,,,,,
1996,,"10,293,934",0.74,,,,,,,,,,
1997,,"12,738,158",0.64,,,,,,,,,,
1998,,"13,874,999",0.44,,,,,,,,,,
1999,,"12,648,424",0.32,,123,,,,,,,,
2000,,"12,387,857",0.24,0.04,130,,,,,,,,
2001,,"14,431,246",0.17,0.05,130,"57,430,026",,,,,,,
2002,,"15,928,604",0.11,0.05,128,"43,845,532",,,,,,,
2003,,"8,348,714",0.06,0.09,99,"28,214,521",,,,,,,
2004,,"6,940,893",0.05,0.20,78,"25,314,921",,,,,,,
2005,,"5,722,631",0.04,0.23,55,"24,636,291",,,,,,,
2006,,"5,980,671",,0.26,50,"23,606,929",,,,,,,
2007,,"6,401,797",,,,"25,896,505",,,,,,,
2008,,"7,010,138",,,,"24,008,610",,,,,,,
2009,,"7,302,286",,,,"25,158,026",,,,,,,
2010,,"8,522,122",,,,"34,303,677",,,,,,,
